"","CHEM_ID","LIB_ID","COMP_ID","CHRO_LIB_ENTRY_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","LIPID SPECIES LEVEL","LIPID MOLECULAR SPECIES LEVEL","LIPID SN POSITION LEVEL","CAS","CHEMSPIDER","HMDB","KEGG","PUBCHEM","PLATFORM","CHEMICAL_NAME_final","original_index","final_metabolite_id","metabolite_id_origin"
"324",100001092,400,32401,155930,"Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism",4357,"NAMED","WWNNZCOKKKDOPX-UHFFFAOYSA-N","C[N+]1=CC(C([O-])=O)=CC=C1","trigonelline (N'-methylnicotinate)","trigonelline (N'-methylnicotinate)",NA,NA,NA,"535-83-1","5369","HMDB0000875","C01004","5570","Pos Early","trigonelline_n'_methylnicotinate",301,"HMDB0000875","COMETS"
"325",100001102,209,32388,125800,"Lipid","Fatty Acid, Dicarboxylate",1709,"NAMED","TVIDDXQYHWJXFK-UHFFFAOYSA-N","OC(CCCCCCCCCCC(O)=O)=O","dodecanedioate (C12-DC)","dodecanedioate (C12)",NA,NA,NA,"693-23-2","12213","HMDB0000623","C02678","12736","Neg","dodecanedioate_c12_dc",302,"HMDB0000623","COMETS"
"326",100001103,400,33487,156024,"Amino Acid","Glutamate Metabolism",56,"NAMED","ZGEYCCHDTIDZAE-UHFFFAOYSA-N","O=C(CCC(C(O)=O)N)OC","glutamate, gamma-methyl ester","glutamate, gamma-methyl ester",NA,NA,NA,"1499-55-4,1499-55-4","66546","HMDB0061715",NA,"68662","Pos Early","glutamate_gamma_methyl ester",303,"HMDB0061715","COMETS"
"327",100001104,209,32390,125802,"Amino Acid","Tyrosine Metabolism",169,"NAMED","CAHKINHBCWCHCF-JTQLQIEISA-N","OC1=CC=C(C[C@@H](C(O)=O)NC(C)=O)C=C1","N-acetyltyrosine","N-acetyltyrosine",NA,NA,NA,"537-55-3","61606","HMDB0000866",NA,"68310","Neg","n_acetyltyrosine",304,"HMDB0000866","COMETS"
"328",100001106,209,32391,125804,"Xenobiotics","Xanthine Metabolism",4633,"NAMED","OTSBKHHWSQYEHK-UHFFFAOYSA-N","CN1C(N(C(N2)=C(C1=O)NC2=O)C)=O","1,3-dimethylurate","1,3-dimethylurate",NA,NA,NA,"944-73-0","63527","HMDB0001857",NA,"70346","Neg","1_3_dimethylurate",305,"HMDB0001857","COMETS"
"329",100001108,209,32445,125834,"Xenobiotics","Xanthine Metabolism",4638,"NAMED","GMSNIKWWOQHZGF-UHFFFAOYSA-N","O=C1N(C)C2=C(N=CN2)C(N1)=O","3-methylxanthine","3-methylxanthine",NA,NA,NA,"1076-22-8","63805","HMDB0001886","C16357","70639","Neg","3_methylxanthine",306,"HMDB0001886","COMETS"
"330",100001112,209,32457,151499,"Lipid","Fatty Acid, Monohydroxy",2008,"NAMED","MUCMKTPAZLSKTL-UHFFFAOYSA-N","OC(CC(CCCCCCCCC)O)=O","3-hydroxylaurate","3-hydroxylaurate",NA,NA,NA,"53941-38-1","85026","HMDB0000387",NA,"94216","Neg","3_hydroxylaurate",307,"HMDB0000387","COMETS"
"331",100001121,209,31555,124697,"Cofactors and Vitamins","Vitamin B6 Metabolism",4487,"NAMED","HXACOUQIXZGNBF-UHFFFAOYSA-N","OC1=C(C(O)=O)C(CO)=CN=C1C","pyridoxate","pyridoxate",NA,NA,NA,"82-82-6","6467","HMDB0000017","C00847","6723","Neg","pyridoxate",308,"HMDB0000017","COMETS"
"332",100001126,400,43829,157051,"Peptide","Gamma-glutamyl Amino Acid",664,"NAMED","AQAKHZVPOOGUCK-XPUUQOCRSA-N","O=C(N[C@H]([C@@](O)=O)C(C)C)CC[C@@H]([C@](O)=O)N","gamma-glutamylvaline","gamma-glutamylvaline",NA,NA,NA,"2746-34-1",NA,"HMDB0011172",NA,"7015683","Pos Early","gamma_glutamylvaline",309,"HMDB0011172","COMETS"
"333",100001126,400,43829,157051,"Peptide","Gamma-glutamyl Amino Acid",664,"NAMED","AQAKHZVPOOGUCK-XPUUQOCRSA-N","O=C(N[C@H]([C@@](O)=O)C(C)C)CC[C@@H]([C@](O)=O)N","gamma-glutamylvaline","gamma-glutamylvaline",NA,NA,NA,"2746-34-1",NA,"HMDB0011172",NA,"7015683","Pos Early","gamma_glutamylvaline",309,"HMDB0011172_M32393","COMETS"
"334",100001145,209,31943,125798,"Lipid","Fatty Acid, Monohydroxy",2007,"NAMED","OQYZCCKCJQWHIE-UHFFFAOYSA-N","OC(CC(O)CCCCCCC(O)=O)=O","3-hydroxysebacate","3-hydroxysebacate",NA,NA,NA,"73141-46-5","2285525","HMDB0000350",NA,"3017884","Neg","3_hydroxysebacate",312,"HMDB0000350","COMETS"
"335",100001150,209,31932,143851,"Lipid","Fatty Acid Metabolism (also BCAA Metabolism)",1795,"NAMED","WOMAZEJKVZLLFE-UHFFFAOYSA-N","O=C(CC)NCC(O)=O","propionylglycine","propionylglycine (C3)",NA,NA,NA,"21709-90-0","89122","HMDB0000783",NA,"98681","Neg","propionylglycine",313,"HMDB0000783","COMETS"
"336",100001155,400,31928,155879,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",405,"NAMED","HOACIBQKYRHBOW-UHFFFAOYSA-N","O=C(O)CNC(C(C)CC)=O","2-methylbutyrylglycine","2-methylbutyrylglycine (C5)",NA,NA,NA,"52320-67-9","168243","HMDB0000339",NA,"193872","Pos Early","2_methylbutyrylglycine",314,"HMDB0000339","COMETS"
"337",100001162,400,32452,155955,"Lipid","Fatty Acid Metabolism (also BCAA Metabolism)",1794,"NAMED","UFAHZIUFPNSHSL-UHFFFAOYSA-N","[O-]C(CC(OC(CC)=O)C[N+](C)(C)C)=O","propionylcarnitine (C3)","propionylcarnitine (C3)",NA,NA,NA,"17298-37-2","96904","HMDB0000824","C03017","107738","Pos Early","propionylcarnitine_c3",315,"HMDB0000824","COMETS"
"338",100001167,400,35127,156146,"Amino Acid","Urea cycle; Arginine and Proline Metabolism",523,"NAMED","ONPXCLZMBSJLSP-ALKRTJFJSA-N","OC([C@H]1N(C([C@H]2NCCC2)=O)CC(O)C1)=O","pro-hydroxy-pro","prolylhydroxyproline",NA,NA,NA,"18684-24-7","9847785","HMDB0006695",NA,"11902893","Pos Early","pro_hydroxy_pro",316,"HMDB0006695","COMETS"
"339",100001170,209,32397,125810,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",411,"NAMED","ZMZQVAUJTDKQGE-UHFFFAOYSA-N","O=C(O)C(CC)CO","3-hydroxy-2-ethylpropionate","3-hydroxy-2-ethylpropionate",NA,NA,NA,"4374-62-3","164207","HMDB0000396",NA,"188979","Neg","3_hydroxy_2_ethylpropionate",317,"HMDB0000396","COMETS"
"340",100001178,209,31787,142911,"Lipid","Fatty Acid, Dicarboxylate",1728,"NAMED","WMCQWXZMVIETAO-UHFFFAOYSA-N","CCCC1=C(C)C(C(O)=O)=C(CCC(O)=O)O1","3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)","3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)",NA,NA,NA,"86879-39-2","110498","HMDB0061112",NA,"123979","Neg","3_carboxy_4_methyl_5_propyl_2_furanpropanoate_cmpf",318,"HMDB0061112","COMETS"
"341",100001181,209,32504,125862,"Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",1585,"NAMED","YUFFSWGQGVEMMI-JLNKQSITSA-N","O=C(O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","docosapentaenoate (n3 DPA; 22:5n3)","docosapentaenoate (DPA; 22:5n3)",NA,NA,NA,"2234-74-4",NA,"HMDB0006528","C16513","6441454","Neg","docosapentaenoate_n3 dpa_22_5n3",319,"HMDB0006528","COMETS"
"342",100001181,209,32504,125862,"Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",1585,"NAMED","YUFFSWGQGVEMMI-JLNKQSITSA-N","O=C(O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","docosapentaenoate (n3 DPA; 22:5n3)","docosapentaenoate (DPA; 22:5n3)",NA,NA,NA,"2234-74-4",NA,"HMDB0001976","C16513","6441454","Neg","docosapentaenoate_n3 dpa_22_5n3",319,"HMDB0001976","COMETS"
"343",100001182,209,32415,125824,"Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",1600,"NAMED","HVGRZDASOHMCSK-AVQMFFATSA-N","CCCCC/C=C/C/C=C/CCCCCCCCCCCC(O)=O","docosadienoate (22:2n6)","docosadienoate (22:2n6)",NA,NA,NA,"7370-49-2","4445934","HMDB0061714","C16533","5282807","Neg","docosadienoate_22_2n6",320,"HMDB0061714","COMETS"
"344",100001193,209,32980,125866,"Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",1598,"NAMED","TWSWSIQAPQLDBP-CGRWFSSPSA-N","O=C(CCCCC/C=C/C/C=C/C/C=C/C/C=C/CCCCC)O","adrenate (22:4n6)","adrenate (22:4n6)",NA,NA,NA,"2091-25-0","4445971","HMDB0002226","C16527","5282844,5497181","Neg","adrenate_22_4n6",321,"HMDB0002226","COMETS"
