"uid_01","hmdb_id","biochemical","original_index","original","contains_original","contains_derived","n_source_rows","multiple_identifiers","multiple_isomers","biochemical_final"
"HMDB0010382","HMDB0010382","LysoPC(16:0)",383,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysopc_16_0"
"HMDB0011503","HMDB0011503","LysoPE(16:0/0:0)",384,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysope_16_0_0_0"
"HMDB0061695","HMDB0061695","1-Palmitoylglycerophosphoinositol",386,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_palmitoylglycerophosphoinositol"
"CHEM100002173","","1-pentadecanoylglycerophosphocholine (15:0)*",391,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_pentadecanoylglycerophosphocholine_15_0"
"HMDB0008048","HMDB0008048","PC(18:0/20:4(5Z,8Z,11Z,14Z))",392,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pc_18_0_20_4_5z_8z_11z_14z"
"HMDB0009003","HMDB0009003","PE(18:0/20:4(5Z,8Z,11Z,14Z))",393,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pe_18_0_20_4_5z_8z_11z_14z"
"HMDB0009815","HMDB0009815","PI(18:0/20:4(5Z,8Z,11Z,14Z))",394,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pi_18_0_20_4_5z_8z_11z_14z"
"CHEM100001872","HMDB0012383","PS(18:0/20:4(5Z,8Z,11Z,14Z))",395,TRUE,TRUE,FALSE,1,FALSE,FALSE,"ps_18_0_20_4_5z_8z_11z_14z"
"HMDB0008039","HMDB0008039","PC(18:0/18:2(9Z,12Z))",396,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pc_18_0_18_2_9z_12z"
"HMDB0008994","HMDB0008994","PE(18:0/18:2(9Z,12Z))",397,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pe_18_0_18_2_9z_12z"
"HMDB0009809","HMDB0009809","PI(18:0/18:2(9Z,12Z))",398,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pi_18_0_18_2_9z_12z"
"HMDB0008038","HMDB0008038","PC(18:0/18:1(9Z))",399,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pc_18_0_18_1_9z"
"HMDB0008993","HMDB0008993","PE(18:0/18:1(9Z))",400,TRUE,TRUE,FALSE,1,FALSE,FALSE,"pe_18_0_18_1_9z"
"CHEM100009181","","1-stearoyl-2-oleoyl-GPI (18:0/18:1)*",401,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_stearoyl_2_oleoyl_gpi_18_0_18_1"
"HMDB0010163","HMDB0010163","PS(18:0/18:1(9Z))",402,TRUE,TRUE,FALSE,1,FALSE,FALSE,"ps_18_0_18_1_9z"
"HMDB0010384","HMDB0010384","LysoPC(18:0)",403,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysopc_18_0"
"HMDB0011130","HMDB0011130","LysoPE(18:0/0:0)",404,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysope_18_0_0_0"
"HMDB0061696","HMDB0061696","1-Stearoylglycerophosphoinositol",406,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_stearoylglycerophosphoinositol"
"HMDB0031075","HMDB0031075","Glycerol 1-octadecanoate",408,TRUE,TRUE,FALSE,1,FALSE,FALSE,"glycerol 1_octadecanoate"
"CHEM100001670","","1-stearoylglycerophosphate",409,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_stearoylglycerophosphate"
"HMDB0010384","HMDB0010384","LysoPC(18:0)",410,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysopc_18_0"
"HMDB0011130","HMDB0011130","LysoPE(18:0/0:0)",411,TRUE,TRUE,FALSE,1,FALSE,FALSE,"lysope_18_0_0_0"
"HMDB0061696","HMDB0061696","1-Stearoylglycerophosphoinositol",413,TRUE,TRUE,FALSE,1,FALSE,FALSE,"1_stearoylglycerophosphoinositol"
"HMDB0060038","HMDB0060038","10Z-Heptadecenoic acid",416,TRUE,TRUE,FALSE,1,FALSE,FALSE,"10z_heptadecenoic acid"
"HMDB0013622","HMDB0013622","Nonadeca-10(Z)-enoic acid",417,TRUE,TRUE,FALSE,1,FALSE,FALSE,"nonadeca_10_z_enoic acid"
"HMDB0033724","HMDB0033724","Undecylenic acid",418,TRUE,TRUE,FALSE,1,FALSE,FALSE,"undecylenic acid"
"HMDB0060038","HMDB0060038","10Z-Heptadecenoic acid",419,TRUE,TRUE,FALSE,1,FALSE,FALSE,"10z_heptadecenoic acid"
"HMDB0005049","HMDB0005049","10-Nitrolinoleic acid",420,TRUE,TRUE,FALSE,1,FALSE,FALSE,"10_nitrolinoleic acid"
"HMDB0062737","HMDB0062737","(9E)-10-nitrooctadecenoic Acid",421,TRUE,TRUE,FALSE,1,FALSE,FALSE,"9e_10_nitrooctadecenoic acid"
"HMDB0013622","HMDB0013622","Nonadeca-10(Z)-enoic acid",422,TRUE,TRUE,FALSE,1,FALSE,FALSE,"nonadeca_10_z_enoic acid"
"HMDB0033724","HMDB0033724","Undecylenic acid",423,TRUE,TRUE,FALSE,1,FALSE,FALSE,"undecylenic acid"
"CHEM100005402","","11-ketoetiocholanolone glucuronide",424,TRUE,TRUE,FALSE,1,FALSE,FALSE,"11_ketoetiocholanolone glucuronide"
"PUBCHEM16061087","","11(12)-epoxy-5,8,14,17- eicosatetraenoic acid",425,TRUE,TRUE,FALSE,1,FALSE,FALSE,"11_12_epoxy_5_8_14_17_eicosatetraenoic acid"
"HMDB0002314","HMDB0011139","11,12-DiHETrE",426,TRUE,TRUE,FALSE,1,FALSE,FALSE,"11_12_dihetre"
"PUBCHEM5283204","","11,12-Epoxyeicosa-5,8,14-trienoic acid",427,TRUE,TRUE,FALSE,1,FALSE,FALSE,"11_12_epoxyeicosa_5_8_14_trienoic acid"
"CHEM100002781","","11-dehydrocorticosterone",428,TRUE,TRUE,FALSE,1,FALSE,FALSE,"11_dehydrocorticosterone"
"HMDB0004682","HMDB0004682","11(R)-HETE",429,TRUE,TRUE,FALSE,1,FALSE,FALSE,"11_r_hete"
"CHEM100005402","","11-ketoetiocholanolone glucuronide",430,TRUE,TRUE,FALSE,1,FALSE,FALSE,"11_ketoetiocholanolone glucuronide"
"HMDB0006111","HMDB0006111","12-HETE",431,TRUE,TRUE,FALSE,1,FALSE,FALSE,"12_hete"
"HMDB0012535","HMDB0012535","12S-HHT",432,TRUE,TRUE,FALSE,1,FALSE,FALSE,"12s_hht"
"HMDB0004705","HMDB0004705","12,13-DHOME",433,TRUE,TRUE,FALSE,1,FALSE,FALSE,"12_13_dhome"
"CHEM100004530","","12-(sulfoxy)octadecanoic acid",434,TRUE,TRUE,FALSE,1,FALSE,FALSE,"12_sulfoxy_octadecanoic acid"
"HMDB0004702","HMDB0004702","12,13-EpOME",435,TRUE,TRUE,FALSE,1,FALSE,FALSE,"12_13_epome"
"HMDB0010201","HMDB0010201","12,13-DiHODE",436,TRUE,TRUE,FALSE,1,FALSE,FALSE,"12_13_dihode"
"HMDB0004705","HMDB0004705","12,13-DHOME",437,TRUE,TRUE,FALSE,1,FALSE,FALSE,"12_13_dhome"
"HMDB0013623","HMDB0013623","12(13)Ep-9-KODE",438,TRUE,TRUE,FALSE,1,FALSE,FALSE,"12_13_ep_9_kode"
"HMDB0004705","HMDB0004705","12,13-DHOME",439,TRUE,TRUE,FALSE,1,FALSE,FALSE,"12_13_dhome"
"HMDB0000400","HMDB0000400","3,7-Dihydroxy-12-oxocholanoic acid",440,TRUE,TRUE,FALSE,1,FALSE,FALSE,"3_7_dihydroxy_12_oxocholanoic acid"
"HMDB0006111","HMDB0006111","12-HETE",441,TRUE,TRUE,FALSE,1,FALSE,FALSE,"12_hete"
"HMDB0012535","HMDB0012535","12S-HHT",442,TRUE,TRUE,FALSE,1,FALSE,FALSE,"12s_hht"
"PUBCHEM5283191","","12-Hydroxy-5,8,10,14,17-eicosapentaenoic acid",443,TRUE,TRUE,FALSE,1,FALSE,FALSE,"12_hydroxy_5_8_10_14_17_eicosapentaenoic acid"
"PUBCHEM5283155","","12-Hydroxy-5,8,10,14-eicosatetraenoic acid",444,TRUE,TRUE,FALSE,1,FALSE,FALSE,"12_hydroxy_5_8_10_14_eicosatetraenoic acid"
"CHEM100002196","","13-HODE + 9-HODE",445,TRUE,TRUE,FALSE,1,FALSE,FALSE,"13_hode + 9_hode"
"CHEM100002196","","13-HODE + 9-HODE",446,TRUE,TRUE,FALSE,1,FALSE,FALSE,"13_hode + 9_hode"
"HMDB0010203","HMDB0010203","13-HOTE",447,TRUE,TRUE,FALSE,1,FALSE,FALSE,"13_hote"
"HMDB0004668","HMDB0004668","13-OxoODE",448,TRUE,TRUE,FALSE,1,FALSE,FALSE,"13_oxoode"
"CHEM1245","","13-octadecenoate (18:1n5)",451,TRUE,TRUE,FALSE,1,FALSE,FALSE,"13_octadecenoate_18_1n5"
"HMDB0004667","HMDB0004667","13S-hydroxyoctadecadienoic acid",452,TRUE,TRUE,FALSE,1,FALSE,FALSE,"13s_hydroxyoctadecadienoic acid"
"CHEM100009278","","14-HDoHE/17-HDoHE",453,TRUE,TRUE,FALSE,1,FALSE,FALSE,"14_hdohe_17_hdohe"
