"","input_metabolite_name_final","original_index","contains_original","contains_derived","n_source_rows","input_hmdb_id","metabolite_id","input_pubchem","input_metabolite_name","input_chemspider","input_kegg","input_inchikey","input_chebi","multiple_identifiers","multiple_isomers","original","MLR_Harmonized_Name"
"1636","c23_ceramide","1624",TRUE,FALSE,1,NA,"CER_D16_1_C23_0",NA,"C23 Ceramide",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"1637","c24_0_ceramide_d18_1","6381|6382",TRUE,FALSE,2,"HMDB0004956","HMDB04956","5283571","C24:0 Ceramide (d18:1)",NA,NA,NA,NA,FALSE,FALSE,NA,"Cer 18:1;O2/24:0"
"1638","c24_0_pc","1499",TRUE,FALSE,1,NA,"C24_0_PC",NA,"C24:0 PC",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"1639","c24_0_sm","7192|7193",TRUE,FALSE,2,"HMDB0011697","HMDB11697","5283595","C24:0 SM",NA,NA,NA,NA,FALSE,FALSE,NA,"SM 18:1;O2/24:0"
"1640","c24_1_ceramide_d18_1","6378|6379",TRUE,FALSE,2,"HMDB0004953","HMDB04953","5283568","C24:1 Ceramide (d18:1)",NA,NA,NA,NA,FALSE,FALSE,NA,"Cer 18:1;O2/24:1(15Z)"
"1641","c24_1_sm","7248|7249",TRUE,FALSE,2,"HMDB0012107","HMDB12107","44260126","C24:1 SM",NA,NA,NA,NA,FALSE,FALSE,NA,"SM 18:1;O2/24:1(15Z)"
"1642","c24_ceramide","1625",TRUE,FALSE,1,NA,"CER_D16_1_C24_0",NA,"C24 Ceramide",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"1643","c24_dihydroceramide","4228",TRUE,FALSE,1,NA,"DHCER_D18_1_C24_0",NA,"C24 Dihydroceramide",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"1644","c25_ceramide","1629",TRUE,FALSE,1,NA,"CER_D18_1_C25_0",NA,"C25 Ceramide",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"1645","c26_carnitine","6561|6562",TRUE,FALSE,2,"HMDB0006347","HMDB06347","53477828","C26 carnitine",NA,NA,NA,NA,FALSE,FALSE,NA,"CAR 26:0"
"1646","c26_ceramide","1631",TRUE,FALSE,1,NA,"CER_D18_1_C26_0",NA,"C26 Ceramide",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"1647","c2_carnitine","4873|4875",TRUE,FALSE,2,"HMDB0000201","HMDB00201","1","C2 carnitine",NA,NA,NA,NA,FALSE,FALSE,NA,"CAR 2:0"
"1648","c2_in_micromole_l","4874",TRUE,FALSE,1,NA,"HMDB00201",NA,"c2 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA,NA
"1649","c30_0_dag","6619|6620",TRUE,FALSE,2,"HMDB0007011","HMDB07011","13734178","C30:0 DAG",NA,NA,NA,NA,FALSE,FALSE,NA,"DG 14:0/16:0/0:0"
"1650","c30_0_pc","6672|6673",TRUE,FALSE,2,"HMDB0007869","HMDB07869","129657","C30:0 PC",NA,NA,NA,NA,FALSE,FALSE,NA,"PC 14:0/16:0"
"1651","c30_1_pc","6674|6675",TRUE,FALSE,2,"HMDB0007870","HMDB07870","24778615","C30:1 PC",NA,NA,NA,NA,FALSE,FALSE,NA,"PC 14:0/16:1(9Z)"
"1652","c32_0_dag","6622|6623",TRUE,FALSE,2,"HMDB0007098","HMDB07098","644078","C32:0 DAG",NA,NA,NA,NA,FALSE,FALSE,NA,"DG 16:0/16:0/0:0"
"1653","c32_0_pc","6676|6677",TRUE,FALSE,2,"HMDB0007871","HMDB07871","131150","C32:0 PC",NA,NA,NA,NA,FALSE,FALSE,NA,"PC 14:0/18:0"
"1654","c32_0_pe","6792",TRUE,FALSE,1,"HMDB0008923","HMDB08923",NA,"C32:0 PE",NA,NA,NA,NA,FALSE,FALSE,NA,"PE 16:0/16:0"
"1655","c32_1_dag","6624|6625",TRUE,FALSE,2,"HMDB0007099","HMDB07099","9543678","C32:1 DAG",NA,NA,NA,NA,FALSE,FALSE,NA,"DG 16:0/16:1(9Z)/0:0"
"1656","c32_1_pc","6679|6680",TRUE,FALSE,2,"HMDB0007873","HMDB07873","24778620","C32:1 PC",NA,NA,NA,NA,FALSE,FALSE,NA,"PC 14:0/18:1(9Z)"
"1657","c32_1_pi","6837",TRUE,FALSE,1,"HMDB0009779","HMDB09779",NA,"C32_1_PI",NA,NA,NA,NA,FALSE,FALSE,NA,"PI 16:0/16:1(9Z)"
"1658","c32_2_dag","6641|6642",TRUE,FALSE,2,"HMDB0007128","HMDB07128","9543679","C32:2 DAG",NA,NA,NA,NA,FALSE,FALSE,NA,"DG 16:1(9Z)/16:1(9Z)/0:0"
"1659","c32_2_pc","6688|6689",TRUE,FALSE,2,"HMDB0007874","HMDB07874","24778624","C32:2 PC",NA,NA,NA,NA,FALSE,FALSE,NA,"PC 14:0/18:2(9Z,12Z)"
"1660","c32_2_pi","6848",TRUE,FALSE,1,"HMDB0009798","HMDB09798",NA,"C32_2_PI",NA,NA,NA,NA,FALSE,FALSE,NA,"PI 16:1(9Z)/16:1(9Z)*"
"1661","c32_2_pi","6848",TRUE,FALSE,1,"HMDB0009798","HMDB09798",NA,"C32_2_PI",NA,NA,NA,NA,FALSE,FALSE,NA,"PI 16:1/16:1"
"1662","c32_2_pi","6848",TRUE,FALSE,1,"HMDB0009798","HMDB09798",NA,"C32_2_PI",NA,NA,NA,NA,FALSE,FALSE,NA,"PI 32:2"
