"input_metabolite_name_final","original_index","contains_original","contains_derived","n_source_rows","input_hmdb_id","metabolite_id","input_pubchem","input_metabolite_name","input_chemspider","input_kegg","input_inchikey","input_chebi","multiple_identifiers","multiple_isomers","original"
"w1_finland_nmr_metabolomics_ratio_of_triglycerides_to_phosphoglycerides","837",TRUE,FALSE,1,NA,"BM00189",NA,"[W1 Finland NMR Metabolomics] Ratio of triglycerides to phosphoglycerides",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_remnant_cholesterol_non_hdl_non_ldl_cholesterol","751",TRUE,FALSE,1,NA,"BM00177",NA,"[W1 Finland NMR Metabolomics] Remnant cholesterol (non-HDL, non-LDL -cholesterol) (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_saturated_fatty_acids","915",TRUE,FALSE,1,NA,"BM00204",NA,"[W1 Finland NMR Metabolomics] Saturated fatty acids (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_sphingomyelins","850",TRUE,FALSE,1,NA,"BM00191",NA,"[W1 Finland NMR Metabolomics] Sphingomyelins (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol","736",TRUE,FALSE,1,NA,"BM00175",NA,"[W1 Finland NMR Metabolomics] Serum total cholesterol (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_in_chylomicrons_and_extremely_large_vldl","138",TRUE,FALSE,1,NA,"BM00007",NA,"[W1 Finland NMR Metabolomics] Total cholesterol in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_in_hdl","765",TRUE,FALSE,1,NA,"BM00179",NA,"[W1 Finland NMR Metabolomics] Total cholesterol in HDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_in_hdl2","772",TRUE,FALSE,1,NA,"BM00180",NA,"[W1 Finland NMR Metabolomics] Total cholesterol in HDL2 (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_in_hdl3","779",TRUE,FALSE,1,NA,"BM00181",NA,"[W1 Finland NMR Metabolomics] Total cholesterol in HDL3 (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_in_idl","404",TRUE,FALSE,1,NA,"BM00049",NA,"[W1 Finland NMR Metabolomics] Total cholesterol in IDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_in_large_hdl","624",TRUE,FALSE,1,NA,"BM00084",NA,"[W1 Finland NMR Metabolomics] Total cholesterol in large HDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_in_large_ldl","448",TRUE,FALSE,1,NA,"BM00056",NA,"[W1 Finland NMR Metabolomics] Total cholesterol in large LDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_in_large_vldl","228",TRUE,FALSE,1,NA,"BM00021",NA,"[W1 Finland NMR Metabolomics] Total cholesterol in large VLDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_in_ldl","758",TRUE,FALSE,1,NA,"BM00178",NA,"[W1 Finland NMR Metabolomics] Total cholesterol in LDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_in_medium_hdl","668",TRUE,FALSE,1,NA,"BM00091",NA,"[W1 Finland NMR Metabolomics] Total cholesterol in medium HDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
