Unnamed: 0,original_index,input_metabolite_name,input_metabolite_name_final,multiple_isomers,multiple_identifiers,metabolite_id,input_hmdb_id,input_pubchem,input_chemspider,input_kegg,input_inchikey,input_chebi
61,61,citraconate,citraconate,True,False,CHEM100006438,,,,,,
61,61,glutaconate,glutaconate,True,False,CHEM100006438,,,,,,
62,2200,3-Hydroxy-decanoyl carnitine or Suberoyl carnitine,3_hydroxy_decanoyl carnitine or suberoyl carnitine,True,False,CHEM100006627_3HYDRO,,,,,,
62,62,3-Hydroxy-decanoyl carnitine,3_hydroxy_decanoyl carnitine,True,False,CHEM100006627_3HYDRO,,,,,,
62,62,Suberoyl carnitine,suberoyl carnitine,True,False,CHEM100006627_3HYDRO,,,,,,
63,2212,2-hydroxybutyrate/2-hydroxyisobutyrate,2_hydroxybutyrate_2_hydroxyisobutyrate,True,False,CHEM100008928,,,,,,
63,63,2-hydroxybutyrate,2_hydroxybutyrate,True,False,CHEM100008928,,,,,,
63,63,2-hydroxyisobutyrate,2_hydroxyisobutyrate,True,False,CHEM100008928,,,,,,
64,2213,2-methylcitrate/homocitrate,2_methylcitrate_homocitrate,True,False,CHEM100008929,,,,,,
64,64,2-methylcitrate,2_methylcitrate,True,False,CHEM100008929,,,,,,
64,64,homocitrate,homocitrate,True,False,CHEM100008929,,,,,,
65,2214,oleate/vaccenate (18:1),oleate_vaccenate_18_1,True,False,CHEM100008930,,,,,,
65,65,oleate,oleate,True,False,CHEM100008930,,,,,,
65,65,vaccenate (18:1),vaccenate_18_1,True,False,CHEM100008930,,,,,,
66,2224,1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*,1_palmitoyl_2_dihomo_linolenoyl_gpc_16_0_20_3n3 or 6,True,False,CHEM100008985,,,,,,
66,66,1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3) *,1_palmitoyl_2_dihomo_linolenoyl_gpc_16_0_20_3n3_,True,False,CHEM100008985,,,,,,
66,66,1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n6) *,1_palmitoyl_2_dihomo_linolenoyl_gpc_16_0_20_3n6_,True,False,CHEM100008985,,,,,,
67,2227,b- and/or g-tocopherol,b_and_or g_tocopherol,True,False,CHEM100008998,,,,,,
67,67,b-tocopherol,b_tocopherol,True,False,CHEM100008998,,,,,,
67,67,g-tocopherol,g_tocopherol,True,False,CHEM100008998,,,,,,
68,2228,gamma-tocopherol/beta-tocopherol,gamma_tocopherol_beta_tocopherol,True,False,CHEM100008998,,,,,,
68,68,gamma-tocopherol,gamma_tocopherol,True,False,CHEM100008998,,,,,,
68,68,beta-tocopherol,beta_tocopherol,True,False,CHEM100008998,,,,,,
69,2244,1-stearoyl-2-dihomo-linolenoyl-GPC (18:0/20:3n3 or 6)*,1_stearoyl_2_dihomo_linolenoyl_gpc_18_0_20_3n3 or 6,True,False,CHEM100009051,,,24766712.0,,,
69,69,1-stearoyl-2-dihomo-linolenoyl-GPC (18:0/20:3n3) *,1_stearoyl_2_dihomo_linolenoyl_gpc_18_0_20_3n3_,True,False,CHEM100009051,,,24766712.0,,,
69,69,1-stearoyl-2-dihomo-linolenoyl-GPC (18:0/20:3n6) *,1_stearoyl_2_dihomo_linolenoyl_gpc_18_0_20_3n6_,True,False,CHEM100009051,,,24766712.0,,,
70,2280,14-HDoHE/17-HDoHE,14_hdohe_17_hdohe,True,False,CHEM100009278,,,,,,
70,70,14-HDoHE,14_hdohe,True,False,CHEM100009278,,,,,,
70,70,17-HDoHE,17_hdohe,True,False,CHEM100009278,,,,,,
71,2294,pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC),pimeloylcarnitine_3_methyladipoylcarnitine_c7_dc,True,False,CHEM100009407,,,,,,
71,71,pimeloylcarnitine,pimeloylcarnitine,True,False,CHEM100009407,,,,,,
71,71,3-methyladipoylcarnitine (C7-DC),3_methyladipoylcarnitine_c7_dc,True,False,CHEM100009407,,,,,,
72,2372,dihomo-linolenoylcarnitine (20:3n3 or 6)*,dihomo_linolenoylcarnitine_20_3n3 or 6,True,False,CHEM100015840,,,,,,
72,72,dihomo-linolenoylcarnitine (20:3n3) *,dihomo_linolenoylcarnitine_20_3n3_,True,False,CHEM100015840,,,,,,
72,72,dihomo-linolenoylcarnitine (20:3n6) *,dihomo_linolenoylcarnitine_20_3n6_,True,False,CHEM100015840,,,,,,
73,2373,dihomo-linolenoylcarnitine (C20:3n3 or 6)*,dihomo_linolenoylcarnitine_c20_3n3 or 6,True,False,CHEM100015840,,,,,,
73,73,dihomo-linolenoylcarnitine (C20:3n3) *,dihomo_linolenoylcarnitine_c20_3n3_,True,False,CHEM100015840,,,,,,
73,73,dihomo-linolenoylcarnitine (C20:3n6) *,dihomo_linolenoylcarnitine_c20_3n6_,True,False,CHEM100015840,,,,,,
74,2397,Deoxycholic_acid/Chenodeoxycholic_acid,deoxycholic_acid_chenodeoxycholic_acid,True,False,CHEM302_CHENO,,,,,,
74,74,Deoxycholic_acid,deoxycholic_acid,True,False,CHEM302_CHENO,,,,,,
74,74,Chenodeoxycholic_acid,chenodeoxycholic_acid,True,False,CHEM302_CHENO,,,,,,
75,3025,3-Hydroxy-cis-5-octenoyl carnitine or Hexenedioyl carnitine,3_hydroxy_cis_5_octenoyl carnitine or hexenedioyl carnitine,True,False,COMP39632_47658_AC38,,,,,,
75,75,3-Hydroxy-cis-5-octenoyl carnitine,3_hydroxy_cis_5_octenoyl carnitine,True,False,COMP39632_47658_AC38,,,,,,
75,75,Hexenedioyl carnitine,hexenedioyl carnitine,True,False,COMP39632_47658_AC38,,,,,,
76,3119,butyrate/isobutyrate (4:0),butyrate_isobutyrate_4_0,True,False,COMP40605,,264,,,,
76,76,butyrate,butyrate,True,False,COMP40605,,264,,,,
76,76,isobutyrate (4:0),isobutyrate_4_0,True,False,COMP40605,,264,,,,
