metabolite_id,dataset_id,study_name,platform,merge_variable,input_metabolite_name,input_metabid,input_chemical_id,input_comp_id,input_hmdb_id,input_cas,input_pubchem,input_chemspider,input_kegg,input_inchikey,input_chebi
BIOCHEM_3HYDTETDODECARNITINE,32,Genetics of Early Onset Cardiovascular Disease,Newgard Laboratory @ Duke University,NEW UID,3-Hydroxy-tetradecanoyl carnitine or Dodecanedioyl carnitine,ac26,,,,,,,,,
BIOCHEM_3HYDTETDODECARNITINE,54,Catheterization Genetics,Newgard Laboratory @ Duke University,BIOCHEMICAL_NAME,3-Hydroxy-tetradecanoyl carnitine or Dodecanedioyl carnitine,ac26,,,,,,,,,
BIOCHEM_AMINOHEP,31,Shanghai Men's Health Study,Metabolon,NEW UID,__aminoheptanoic_acid,logm418,,,,,,,,,
BIOCHEM_AMINOOCT,31,Shanghai Men's Health Study,Metabolon,NEW UID,__aminooctanoic_acid,logm466,,,,,,,,,
BIOCHEM_ASPARA,32,Genetics of Early Onset Cardiovascular Disease,Newgard Laboratory @ Duke University,NEW UID,Asparatate/asparatime,aa11,,,,,,,,,
BIOCHEM_ASPARA,54,Catheterization Genetics,Newgard Laboratory @ Duke University,BIOCHEMICAL_NAME,Asparatate/asparatime,aa11,,,,,,,,,
BIOCHEM_BETA_HYDR,32,Genetics of Early Onset Cardiovascular Disease,Newgard Laboratory @ Duke University,NEW UID,b-Hydroxy-butyryl carnitine,ac06,,,,,,,,,
BIOCHEM_BETA_HYDR,54,Catheterization Genetics,Newgard Laboratory @ Duke University,BIOCHEMICAL_NAME,b-Hydroxy-butyryl carnitine,ac06,,,,,,,,,
BIOCHEM_C34_2,50,Women's Health Initiative,Broad Institute,NEW UID,C34:2 hydroxy-PC,c34.2.hydroxy.pc.m.plus.h.plus,,,,,,,,,
BIOCHEM_C36_4,50,Women's Health Initiative,Broad Institute,NEW UID,C36:4 hydroxy-PC,c36.4.hydroxy.pc.m.plus.h.plus,,,,,,,,,
BIOCHEM_C40_11,50,Women's Health Initiative,Broad Institute,NEW UID,C40:11 PC plasmalogen,c40.11.pc.plasmalogen,,,,,,,,,
BIOCHEM_DECADIENOYLCARNITINE,32,Genetics of Early Onset Cardiovascular Disease,Newgard Laboratory @ Duke University,NEW UID,Decadienoyl carnitine,ac15,,,,,,,,,
BIOCHEM_DECADIENOYLCARNITINE,54,Catheterization Genetics,Newgard Laboratory @ Duke University,BIOCHEMICAL_NAME,Decadienoyl carnitine,ac15,,,,,,,,,
BIOCHEM_DECATRIENOYLCARNITINE,32,Genetics of Early Onset Cardiovascular Disease,Newgard Laboratory @ Duke University,NEW UID,Decatrienoyl carnitine,ac14,,,,,,,,,
BIOCHEM_DECATRIENOYLCARNITINE,54,Catheterization Genetics,Newgard Laboratory @ Duke University,BIOCHEMICAL_NAME,Decatrienoyl carnitine,ac14,,,,,,,,,
BIOCHEM_HEXOSE_DIPHOSPHATE,45,Estonia Biobank Obesity Extremes,Broad Institute,BIOCHEMICAL_NAME,hexose_diphosphate,hexose_diphosphate,,,,,,,,,
BIOCHEM_HEXOSE_DIPHOSPHATE,50,Women's Health Initiative,Broad Institute,NEW UID,hexose diphosphate,hexose.diphosphate,,,HMDB01058,,,,,,
BIOCHEM_HYDSEBCARNITINE,32,Genetics of Early Onset Cardiovascular Disease,Newgard Laboratory @ Duke University,NEW UID,3-Hydroxy-dodecanoyl carnitine or Sebacoyl carnitine,ac21,,,,,,,,,
BIOCHEM_HYDSEBCARNITINE,54,Catheterization Genetics,Newgard Laboratory @ Duke University,BIOCHEMICAL_NAME,3-Hydroxy-dodecanoyl carnitine or Sebacoyl carnitine,ac21,,,,,,,,,
BIOCHEM_LAUROYLCARNITINE,32,Genetics of Early Onset Cardiovascular Disease,Newgard Laboratory @ Duke University,NEW UID,Lauroyl carnitine,ac20,,,,,,,,,
BIOCHEM_LAUROYLCARNITINE,54,Catheterization Genetics,Newgard Laboratory @ Duke University,BIOCHEMICAL_NAME,Lauroyl carnitine,ac20,,,,,,,,,
BIOCHEM_METHYLCAT,31,Shanghai Men's Health Study,Metabolon,NEW UID,__methyl_catechol_sulfate_1,logm513,,,,,,,,,
BIOCHEM_N_METHYL_ACETAMINOPHEN,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,N-methyl-acetaminophen sulfate 1*,m_378,,38786,,,,,,,
BIOCHEM_OCTADECANEDIOYLCARN,32,Genetics of Early Onset Cardiovascular Disease,Newgard Laboratory @ Duke University,NEW UID,Octadecanedioyl carnitine,ac32,,,,,,,,,
BIOCHEM_OCTADECANEDIOYLCARN,54,Catheterization Genetics,Newgard Laboratory @ Duke University,BIOCHEMICAL_NAME,Octadecanedioyl carnitine,ac32,,,,,,,,,
BIOCHEM_OLEYLCARNITINE,32,Genetics of Early Onset Cardiovascular Disease,Newgard Laboratory @ Duke University,NEW UID,Oleyl carnitine,ac30,,,,,,,,,
BIOCHEM_OLEYLCARNITINE,54,Catheterization Genetics,Newgard Laboratory @ Duke University,BIOCHEMICAL_NAME,Oleyl carnitine,ac30,,,,,,,,,
BIOCHEM_PENTOSE_MONOPHOSPHATE,45,Estonia Biobank Obesity Extremes,Broad Institute,BIOCHEMICAL_NAME,pentose_monophosphate,pentose_monophosphate,,,,,,,,,
BIOCHEM_PENTOSE_MONOPHOSPHATE,50,Women's Health Initiative,Broad Institute,NEW UID,pentose monophosphate,pentose.monophosphate,,,HMDB01548,,,,,,
BIOCHEM_PIPERIDONE,31,Shanghai Men's Health Study,Metabolon,NEW UID,__piperidone,logm374,,,,,,,,,
BIOCHEM_TETRACARNITINE,32,Genetics of Early Onset Cardiovascular Disease,Newgard Laboratory @ Duke University,NEW UID,Tetradecadienoyl carnitine,ac22,,,,,,,,,
BIOCHEM_TETRACARNITINE,54,Catheterization Genetics,Newgard Laboratory @ Duke University,BIOCHEMICAL_NAME,Tetradecadienoyl carnitine,ac22,,,,,,,,,
BIOCHEM_X_11802,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 11802,m_543,,33147,,,,,,,
BIOCHEM_X_11909,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 11909,m_559,,33254,,,,,,,
BIOCHEM_X_12131,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 12131,m_570,,33628,,,,,,,
BIOCHEM_X_12218,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 12218,m_582,,33639,,,,,,,
BIOCHEM_X_12805,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 12805,m_615,,34488,,,,,,,
BIOCHEM_X_12832,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 12832,m_624,,34515,,,,,,,
BIOCHEM_X_13857,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 13857,m_649,,35752,,,,,,,
BIOCHEM_X_13858,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 13858,m_650,,35753,,,,,,,
BIOCHEM_X_14015,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 14015,m_654,,35919,,,,,,,
BIOCHEM_X_14026,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 14026,m_655,,35938,,,,,,,
BIOCHEM_X_14987,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 14987,m_666,,37014,,,,,,,
BIOCHEM_X_15581,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 15581,m_677,,37830,,,,,,,
BIOCHEM_X_15591,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 15591,m_678,,37840,,,,,,,
BIOCHEM_X_15732,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 15732,m_683,,37981,,,,,,,
BIOCHEM_X_16483,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 16483,m_705,,39056,,,,,,,
BIOCHEM_X_16485,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 16485,m_706,,39058,,,,,,,
BIOCHEM_X_16486,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 16486,m_707,,39059,,,,,,,
BIOCHEM_X_16557,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 16557,m_709,,39130,,,,,,,
BIOCHEM_X_17192,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 17192,m_733,,39862,,,,,,,
BIOCHEM_X_17378,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 17378,m_746,,40203,,,,,,,
BIOCHEM_X_17461,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 17461,m_759,,40290,,,,,,,
BIOCHEM_X_17609,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 17609,m_762,,40550,,,,,,,
BIOCHEM_X_17651,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 17651,m_768,,40593,,,,,,,
BIOCHEM_X_17680,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 17680,m_773,,40777,,,,,,,
BIOCHEM_X_17866,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 17866,m_782,,40968,,,,,,,
BIOCHEM_X_18153,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 18153,m_784,,41256,,,,,,,
BIOCHEM_X_18275,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 18275,m_789,,41423,,,,,,,
BIOCHEM_X_18554,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 18554,m_794,,41783,,,,,,,
BIOCHEM_X_18778,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 18778,m_800,,42153,,,,,,,
BIOCHEM_X_19139,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 19139,m_816,,42546,,,,,,,
BIOCHEM_X_19143,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 19143,m_818,,42550,,,,,,,
BIOCHEM_X_19157,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 19157,m_821,,42630,,,,,,,
BIOCHEM_X_19412,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 19412,m_826,,42888,,,,,,,
BIOCHEM_X_19579,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 19579,m_836,,43135,,,,,,,
BIOCHEM_X_19808,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 19808,m_839,,43559,,,,,,,
BIOCHEM_X_20157,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 20157,m_842,,44740,,,,,,,
BIOCHEM_X_20502,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 20502,m_844,,45103,,,,,,,
BIOCHEM_X_20503,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 20503,m_845,,45104,,,,,,,
BIOCHEM_X_21047,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 21047,m_853,,45903,,,,,,,
BIOCHEM_X_21056,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 21056,m_854,,45918,,,,,,,
BIOCHEM_X_21203,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 21203,m_855,,46193,,,,,,,
BIOCHEM_X_21204,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 21204,m_856,,46194,,,,,,,
BIOCHEM_X_21206,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 21206,m_857,,46197,,,,,,,
BIOCHEM_X_21211,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 21211,m_858,,46204,,,,,,,
BIOCHEM_X_21215,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 21215,m_859,,46209,,,,,,,
BIOCHEM_X_21216,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 21216,m_860,,46210,,,,,,,
BIOCHEM_X_21218,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 21218,m_861,,46213,,,,,,,
BIOCHEM_X_21222,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 21222,m_862,,46217,,,,,,,
BIOCHEM_X_21223,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 21223,m_863,,46218,,,,,,,
BIOCHEM_X_21674,44,Women One-Carbon Metabolism and Inflammation Study,Metabolon,NEW UID,X - 21674,m_864,,46780,,,,,,,
BIO_5NONAD,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,"5-Nonadecyl-1,3-benzenediol-glucuronide",5_nonadecyl_1_3_benzenediol_glucuronide,,,,,,,,,
BIO_5NONAD_2,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,"5-Nonadecyl-1,3-benzenediol-glucuronide",5_nonadecyl_1_3_benzenediol_glucuronide_2,,,,,,,,,
BIO_5NONAD_3,73,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,"5-Nonadecyl-1,3-benzenediol-glucuronide",5_nonadecyl_1_3_benzenediol_glucuronide_3,,,,,,,,,
BIO_CCHCH2HCC,71,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,C=CHCH2HC=C (fatty acyl chains),c_chch2hc_c__fatty_acyl_chains_,,,,,,,,,
BIO_CH2,71,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,CH2<U+00A0>(lysyl groups),ch2<U+00A0>_lysyl_groups_,,,,,,,,,
BIO_CH2CC,71,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,CH2C=C (fatty acyl chains),ch2c_c__fatty_acyl_chains_,,,,,,,,,
BIO_CH2CH2CO,71,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,CH2CH2CO (fatty acyl chains),ch2ch2co__fatty_acyl_chains_,,,,,,,,,
BIO_CH2CO,71,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,CH2CO (fatty acyl chains),ch2co__fatty_acyl_chains_,,,,,,,,,
BIO_CH2N,71,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,(CH2)n (fatty acyl chains),_ch2_n__fatty_acyl_chains_,,,,,,,,,
BIO_CH2OCOR,71,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,CH2OCOR (glyceryl moyety),ch2ocor__glyceryl_moyety_,,,,,,,,,
BIO_CH3C18,71,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,CH3 (C18 from Cholesterol),ch3__c18_from_cholesterol_,,,,,,,,,
BIO_CH3C19,71,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,CH3<U+00A0>(C19 from Cholesterol),ch3<U+00A0>_c19_from_cholesterol_,,,,,,,,,
BIO_CH3C21,71,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,CH3 (C21 from Cholesterol),ch3__c21_from_cholesterol_,,,,,,,,,
BIO_CH3C26,71,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,CH3 (C26 and C27 from Cholesterol),ch3__c26_and_c27_from_cholesterol_,,,,,,,,,
BIO_CH3CH2CH2,71,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,CH3CH2CH2<U+00A0>(fatty acyl chains),ch3ch2ch2<U+00A0>_fatty_acyl_chains_,,,,,,,,,
BIO_CH3CH2CH2N,71,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,CH3CH2(CH2)n (fatty acyl chains),ch3ch2_ch2_n__fatty_acyl_chains_,,,,,,,,,
BIO_CH3CH2N,71,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,CH3(CH2)n (fatty acyl chains),ch3_ch2_n__fatty_acyl_chains_,,,,,,,,,
BIO_CH23CH2CH2C,71,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,CH3CH2CH2C= (fatty acyl chains),ch3ch2ch2c___fatty_acyl_chains_,,,,,,,,,
BIO_CHCH,71,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,CH=CH (fatty acyl residues),ch_ch__fatty_acyl_residues_,,,,,,,,,
BIO_CHOCOR,71,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,CHOCOR (glyceryl moyety),chocor__glyceryl_moyety_,,,,,,,,,
BIO_NCH3,71,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,NCH3 (N-acetyl groups),nch3__n_acetyl_groups_,,,,,,,,,
BIO_NCH33,71,Multi-Ethnic Study of Atherosclerosis and COMBI-BIO2,Imperial College London,NEW UID,N(CH3)3<U+00A0>(choline head group),n_ch3_3<U+00A0>_choline_head_group_,,,,,,,,,
BM00004,15,British Women's Heart and Health Study,Nightingale Health,BIOCHEMICAL_NAME,[W1 Finland NMR Metabolomics] Concentration of chylomicrons and extremely large VLDL particles (mol/l),xxl_vldl_p,,,,,,,,,
BM00004,23,Avon Longitudinal Study of Parents and Children,Nightingale Health,BIOCHEMICAL_NAME,Concentration of chylomicrons and extremely large VLDL particles (mol/l),xxlvldlp,,,,,,,,,
BM00004,25,Born in Bradford,Nightingale Health,BIOCHEMICAL_NAME,Concentration of chylomicrons and extremely large VLDL particles (mol/l),xxlvldlp,,,,,,,,,
BM00004,26,Southall and Brent Revisited,Nightingale Health,BIOCHEMICAL_NAME,Concentration of chylomicrons and extremely large VLDL particles,mf_xxl_vldl_p_v1,,,,,,,,,
BM00004,28,Twins United Kingdom,Nightingale Health,BIOCHEMICAL_NAME,Concentration of chylomicrons and extremely large VLDL particles ( XXL-VLDL-P ),bm00004,,,,,,,,,
BM00004,51,Caerphilly Prospective Study,Nightingale Health,BIOCHEMICAL_NAME,Concentration of chylomicrons and extremely large VLDL particles (mol/l),xxlvldlp,,,,,,,,,
BM00004,53,MRC National Survey of Health and Development,Nightingale Health,BIOCHEMICAL_NAME,Concentration of chylomicrons and extremely large VLDL particles (mol/l),XXL_VLDL_P,,,,,,,,,
BM00004,55,Whitehall II,Nightingale Health,NEW UID,Concentration of chylomicrons and extremely large VLDL particles (mol/L) (s5),xxl_vldl_p,,,,,,,,,
BM00004,57,UK Pregnancies Better Eating and Activity Trial,Nightingale Health,NIGHTINGALE_ID,xxlvldlp,xxlvldlp,,,,,,,,,
BM00004,60,FINRISK02,Nightingale Health,NIGHTINGALE_ID,XXL-VLDL-P,xxlvldlp,,,,,,,,,
BM00004,61,FINRISK07,Nightingale Health,NIGHTINGALE_ID,XXL-VLDL-P,xxlvldlp,,,,,,,,,
BM00004,62,FINRISK12,Nightingale Health,NIGHTINGALE_ID,XXL-VLDL-P,xxlvldlp,,,,,,,,,
BM00004,63,FINRISK97,Nightingale Health,NIGHTINGALE_ID,XXL-VLDL-P,xxlvldlp,,,,,,,,,
BM00005,15,British Women's Heart and Health Study,Nightingale Health,BIOCHEMICAL_NAME,[W1 Finland NMR Metabolomics] Total lipids in chylomicrons and extremely large VLDL (mmol/l),xxl_vldl_l,,,,,,,,,
