"","input_hmdb_id","input_pubchem","metabolite_id","input_metabolite_name_final","original_index","contains_original","contains_derived","n_source_rows","input_metabolite_name","input_chemspider","input_kegg","input_inchikey","input_chebi","multiple_identifiers","multiple_isomers","original"
"97",NA,NA,"CSID24822407","pcaac343 in plasma_micromole_l","4014",TRUE,FALSE,1,"pcaac343 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"98",NA,NA,"CSID24822409","pcaac365 in plasma_micromole_l","4019",TRUE,FALSE,1,"pcaac365 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"99",NA,NA,"CSID24822417","pcaac320 in plasma_micromole_l","4024",TRUE,FALSE,1,"pcaac320 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"100",NA,NA,"CSID24822448","pcaac342 in plasma_micromole_l","4031",TRUE,FALSE,1,"pcaac342 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"101",NA,NA,"CSID24822459","pcaac361 in plasma_micromole_l","4037",TRUE,FALSE,1,"pcaac361 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"102",NA,NA,"CSID24822466","pcaac363 in plasma_micromole_l","4042",TRUE,FALSE,1,"pcaac363 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"103",NA,NA,"CSID24822473","pcaac380 in plasma_micromole_l","4047",TRUE,FALSE,1,"pcaac380 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"104",NA,NA,"CSID24822488","pcaac384 in plasma_micromole_l","4052",TRUE,FALSE,1,"pcaac384 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"105",NA,NA,"CSID24822495","pcaac405 in plasma_micromole_l","4057",TRUE,FALSE,1,"pcaac405 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"106",NA,NA,"CSID24822532","pcaac362 in plasma_micromole_l","4062",TRUE,FALSE,1,"pcaac362 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
