"metabolite_id","input_metabolite_name","input_hmdb_id","input_pubchem","input_chemspider","input_kegg","input_inchikey","input_chebi","split_input_pubchem","split_reason","input_pubchem_final","metabolite_id_final","input_hmdb_id_final","input_kegg_final","input_chebi_final","input_chemspider_final","input_inchikey_final","input_metabolite_name_final","metabolite_id_final_1","metabolite_id_final_2","has_descriptive_terms","has_multiple_ids"
"HMDB00086","Glycerophosphorylcholine (GPC)","HMDB00086","657272;71920",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","657272","HMDB00086","HMDB0000086",NA,NA,NA,NA,"glycerophosphorylcholine_gpc","HMDB00086","HMDB0000086",FALSE,FALSE
"HMDB00086","Glycerophosphorylcholine (GPC)","HMDB00086","657272;71920",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","71920","HMDB00086","HMDB0000086",NA,NA,NA,NA,"glycerophosphorylcholine_gpc","HMDB00086","HMDB0000086",FALSE,FALSE
"HMDB00086","glycerophosphorylcholine (GPC)","HMDB00086","657272;71920",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","657272","HMDB00086","HMDB0000086",NA,NA,NA,NA,"glycerophosphorylcholine_gpc","HMDB00086","HMDB0000086",FALSE,FALSE
"HMDB00086","glycerophosphorylcholine (GPC)","HMDB00086","657272;71920",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","71920","HMDB00086","HMDB0000086",NA,NA,NA,NA,"glycerophosphorylcholine_gpc","HMDB00086","HMDB0000086",FALSE,FALSE
"HMDB00123","Glycine","HMDB00123","5257127;750",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","5257127","HMDB00123","HMDB0000123",NA,NA,NA,NA,"glycine","HMDB00123","HMDB0000123",FALSE,FALSE
"HMDB00123","Glycine","HMDB00123","5257127;750",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","750","HMDB00123","HMDB0000123",NA,NA,NA,NA,"glycine","HMDB00123","HMDB0000123",FALSE,FALSE
"HMDB00123","glycine","HMDB00123","5257127;750",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","5257127","HMDB00123","HMDB0000123",NA,NA,NA,NA,"glycine","HMDB00123","HMDB0000123",FALSE,FALSE
"HMDB00123","glycine","HMDB00123","5257127;750",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","750","HMDB00123","HMDB0000123",NA,NA,NA,NA,"glycine","HMDB00123","HMDB0000123",FALSE,FALSE
"HMDB00187","Serine","HMDB00187","5951;6857581",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","5951","HMDB00187","HMDB0000187",NA,NA,NA,NA,"serine","HMDB00187","HMDB0000187",FALSE,FALSE
"HMDB00187","Serine","HMDB00187","5951;6857581",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","6857581","HMDB00187","HMDB0000187",NA,NA,NA,NA,"serine","HMDB00187","HMDB0000187",FALSE,FALSE
"HMDB00187","serine","HMDB00187","5951;6857581",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","5951","HMDB00187","HMDB0000187",NA,NA,NA,NA,"serine","HMDB00187","HMDB0000187",FALSE,FALSE
"HMDB00187","serine","HMDB00187","5951;6857581",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","6857581","HMDB00187","HMDB0000187",NA,NA,NA,NA,"serine","HMDB00187","HMDB0000187",FALSE,FALSE
"HMDB00192","cystine","HMDB00192","595;67678",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","595","HMDB00192","HMDB0000192",NA,NA,NA,NA,"cystine","HMDB00192","HMDB0000192",FALSE,FALSE
