"metabolite_id","input_metabolite_name","input_hmdb_id","input_pubchem","input_chemspider","input_kegg","input_inchikey","input_chebi"
"HMDB13302","phenylalanylphenylalanine","","6993090;6993089",NA,"","",NA
"HMDB13302","phenylalanylphenylalanine","","6993090;6993089",NA,"","",NA
"HMDB14707","cephalexin","HMDB14707","27447;6560168",NA,"","",NA
"HMDB14707","cephalexin","HMDB14707","27447;6560168",NA,"","",NA
"HMDB15109","EDTA","HMDB15109","5232305;6049",NA,"","",NA
"HMDB15109","EDTA","HMDB15109","5232305;6049",NA,"","",NA
"HMDB15193","amoxicillin","","2171;4663997",2086,"","",NA
"HMDB29068","threonylphenylalanine","","4099799;4099798",NA,"","",NA
"HMDB29068","threonylphenylalanine","HMDB29068","4099799;4099798",NA,"","",NA
"HMDB29068","threonylphenylalanine","","4099799;4099798",NA,"","",NA
"HMDB29068","threonylphenylalanine","","4099799;4099798",NA,"","",NA
"HMDB29159","gamma-glutamylthreonine*","HMDB29159","76078708;76078700",NA,"","",NA
"HMDB29160","gamma-glutamyltryptophan","HMDB29160","3038501;3989307",NA,"","",NA
"HMDB29412","4-hydroxyproline betaine","HMDB29412","164642;1550239",NA,"","",NA
"HMDB40594","furaneol","HMDB40594","19309;25200724",NA,"","",NA
"HMDB61717","Succinylcarnitine","HMDB61717","71464481;71464480",NA,"","",NA
"HMDB61717","succinylcarnitine","HMDB61717","71464481;71464480",NA,"","",NA
