"uid_01","hmdb_id","biochemical"
"CHEM100010922#CHEM100010923","HMDB0007257#HMDB0007257","DG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/0:0)#DG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/0:0)"
"CHEM100010928#CHEM100010929","#","Linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]*#Linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [2]*"
"C30_0_DAG_+NH4#HMDB07011","#HMDB0007011","C30:0 DAG +NH4#DG(14:0/16:0/0:0)"
"C32_1_DAG_+NH4#CHEM100010934#CHEM100010935#HMDB07099","###HMDB0007099","C32:1 DAG +NH4#Diacylglycerol (14:0/18:1, 16:0/16:1) [1]*#Diacylglycerol (14:0/18:1, 16:0/16:1) [2]*#DG(16:0/16:1(9Z)/0:0)"
"C32_2_DAG_+NH4#HMDB07128","#HMDB0007128","C32:2 DAG +NH4#DG(16:1(9Z)/16:1(9Z)/0:0)"
"C34_0_DAG_+NH4#HMDB07100","#HMDB0007100","C34:0 DAG +NH4#DG(16:0/18:0/0:0)"
"C34_1_DAG_+NH4#HMDB07102","#HMDB0007102","C34:1 DAG +NH4#DG(16:0/18:1(9Z)/0:0)"
"C34_3_DAG_+NH4#CHEM100010940#HMDB07132","##HMDB0007132","C34:3 DAG +NH4#Diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*#DG(16:1(9Z)/18:2(9Z,12Z)/0:0)"
"C36_0_DAG_+NH4#HMDB07158","#HMDB0007158","C36:0 DAG +NH4#DG(18:0/18:0/0:0)"
"C36_1_DAG_+NH4#HMDB07216","#HMDB0007216","C36:1 DAG +NH4#DG(18:1(9Z)/18:0/0:0)"
"C36_2_DAG_+NH4#HMDB07218","#HMDB0007218","C36:2 DAG +NH4#DG(18:1(9Z)/18:1(9Z)/0:0)"
"C36_3_DAG_+NH4#HMDB07219","#HMDB0007219","C36:3 DAG +NH4#DG(18:1(9Z)/18:2(9Z,12Z)/0:0)"
"C38_5_DAG_+NH4#HMDB07199","#HMDB0007199","C38:5 DAG +NH4#DG(18:1(11Z)/20:4(5Z,8Z,11Z,14Z)/0:0)"
"BM00198#HMDB02183","#HMDB0002183","22:6, docosahexaenoic acid#Docosahexaenoic acid"
"HMDB01473#HMDB01882","HMDB0001473#HMDB0001882","Dihydroxyacetone phosphate#Dihydroxyacetone"
"HMDB01539#HMDB01539_HMDB03334","HMDB0001539#HMDB0001539","Asymmetric dimethylarginine#Asymmetric dimethylarginine"
"COMP43024#HMDB01936","#HMDB0001936","Doxylamine#Doxylamine"
"HMDB01976#HMDB06528","HMDB0001976#HMDB0006528","Docosapentaenoic acid (22n-6)#Docosapentaenoic acid"
"CHEM100001635#Ectoine","#","Ectoine#Ectoine"
"HMDB00660#HMDB03418","HMDB0000660#HMDB0003418","D-Fructose#D-Tagatose"
"HMDB00174#PUBCHEM439554","HMDB0000174#","L-Fucose#Alpha-L-fucose"
"HMDB01492#PUBCHEM92729","HMDB0001492#","Gamma-Tocopherol#Tocopherol gamma-"
"ME056198#ME056372","#","GlcCer (42:1)#GlcCer (d42:1)"
"HMDB00122#HMDB00516","HMDB0000122#HMDB0000516","D-Glucose#Beta-D-Glucose"
"HMDB00148#HMDB00148_HMDB03339","HMDB0000148#HMDB0000148","L-Glutamic acid#L-Glutamic acid"
"HMDB00148#HMDB00148_HMDB03339#HMDB03339","HMDB0000148#HMDB0000148#HMDB0003339","L-Glutamic acid#L-Glutamic acid#D-Glutamic acid"
"HMDB00139#PUBCHEM752","HMDB0000139#","Glyceric acid#Glyceric acid"
"HMDB00123#HMDB00123_B1#HMDB00123_B2","HMDB0000123#HMDB0000123#HMDB0000123","Glycine#Glycine#Glycine"
"HMDB00118#HMDB11719","HMDB0000118#HMDB0011719","Homovanillic acid#Homovanillic acid sulfate"
"CHEM100003926#HMDB13127","HMDB0013127#HMDB0013127","Hydroxybutyrylcarnitine#Hydroxybutyrylcarnitine"
