Unnamed: 0,input_hmdb_id,input_pubchem,metabolite_id,input_metabolite_name_final,original_index,contains_original,contains_derived,n_source_rows,input_metabolite_name,input_chemspider,input_kegg,input_inchikey,input_chebi,multiple_identifiers,multiple_isomers,original
27,HMDB0001388,5280934,HMDB01388_HMDB03073,linolenate_alpha or gamma__18_3n3_,27,False,True,2.0,Linolenate _alpha or gamma; (18:3n3) _,,,,,True,True,
27,HMDB0001388,5280934,HMDB01388_HMDB03073,linolenate_alpha or gamma__18_3n6_,27,False,True,2.0,Linolenate _alpha or gamma; (18:3n6) _,,,,,True,True,
28,HMDB0001388,,HMDB01388,18_3n3 or 6,5842,True,False,1.0,(18:3n3 or 6)],,Lipid,,,False,True,
28,HMDB0001388,,HMDB01388,18_3n3_,28,True,False,1.0,(18:3n3) ],,Lipid,,,False,True,
28,HMDB0001388,,HMDB01388,18_3n6_,28,True,False,1.0,(18:3n6) ],,Lipid,,,False,True,
29,HMDB0002231,5282768,HMDB02231,eicosenoate_20_1n9 or 11,6086,True,False,1.0,eicosenoate (20:1n9 or 11),,,,,False,True,
29,HMDB0002231,5282768,HMDB02231,eicosenoate_20_1n9,29,True,False,1.0,eicosenoate (20:1n9),,,,,False,True,
29,HMDB0002231,5282768,HMDB02231,eicosenoate_20_1n11,29,True,False,1.0,eicosenoate (20:1n11),,,,,False,True,
30,HMDB0002925,,HMDB02925,dihomo_linolenate_20_3n3 or n6,6185|6190,True,False,2.0,dihomo-linolenate (20:3n3 or n6),,C03242,,,False,True,
30,HMDB0002925,,HMDB02925,dihomo_linolenate_20_3n3,30,True,False,2.0,dihomo-linolenate (20:3n3),,C03242,,,False,True,
30,HMDB0002925,,HMDB02925,dihomo_linolenate_20_3n6,30,True,False,2.0,dihomo-linolenate (20:3n6),,C03242,,,False,True,
31,HMDB0002925,5280581,HMDB02925,dihomo_linolenate_20_3n3 or n6,6182|6186|6188|8091|8092,True,True,5.0,dihomo-linolenate (20:3n3 or n6),4471954.0,C03242,,,False,True,
31,HMDB0002925,5280581,HMDB02925,dihomo_linolenate_20_3n3,31,True,True,5.0,dihomo-linolenate (20:3n3),4471954.0,C03242,,,False,True,
31,HMDB0002925,5280581,HMDB02925,dihomo_linolenate_20_3n6,31,True,True,5.0,dihomo-linolenate (20:3n6),4471954.0,C03242,,,False,True,
32,HMDB0002925,5312529,HMDB02925,dihomo_linolenate_20_3n3 or n6,6187|8091|8092,True,True,3.0,dihomo-linolenate (20:3n3 or n6),,C03242,,,False,True,
32,HMDB0002925,5312529,HMDB02925,dihomo_linolenate_20_3n3,32,True,True,3.0,dihomo-linolenate (20:3n3),,C03242,,,False,True,
32,HMDB0002925,5312529,HMDB02925,dihomo_linolenate_20_3n6,32,True,True,3.0,dihomo-linolenate (20:3n6),,C03242,,,False,True,
33,HMDB0003073,,HMDB01388_HMDB03073,linolenate_alpha or gamma__18_3n3 or 6,8076,False,True,1.0,linolenate [alpha or gamma; (18:3n3 or 6)],,,,,True,True,
33,HMDB0003073,,HMDB01388_HMDB03073,linolenate_alpha__18_3n3,33,False,True,1.0,linolenate [alpha; (18:3n3)],,,,,True,True,
33,HMDB0003073,,HMDB01388_HMDB03073,linolenate_gamma__18_3n6,33,False,True,1.0,linolenate [gamma; (18:3n6)],,,,,True,True,
34,HMDB0003073,5280934,HMDB01388_HMDB03073,linolenate_alpha or gamma__18_3n3 or 6,5845,True,False,,linolenate [alpha or gamma; (18:3n3 or 6)],,,,,False,True,True
34,HMDB0003073,5280934,HMDB01388_HMDB03073,linolenate_alpha__18_3n3,34,True,False,,linolenate [alpha; (18:3n3)],,,,,False,True,True
34,HMDB0003073,5280934,HMDB01388_HMDB03073,linolenate_gamma__18_3n6,34,True,False,,linolenate [gamma; (18:3n6)],,,,,False,True,True
35,HMDB0003073,5280934,HMDB01388_HMDB03073,linolenate_alpha or gamma__18_3n3 or 6,5848,True,False,,linolenate [alpha or gamma; (18:3n3 or 6)],4444437.0,C06426,,,False,True,True
35,HMDB0003073,5280934,HMDB01388_HMDB03073,linolenate_alpha__18_3n3,35,True,False,,linolenate [alpha; (18:3n3)],4444437.0,C06426,,,False,True,True
35,HMDB0003073,5280934,HMDB01388_HMDB03073,linolenate_gamma__18_3n6,35,True,False,,linolenate [gamma; (18:3n6)],4444437.0,C06426,,,False,True,True
36,HMDB0003073,5280934,HMDB01388_HMDB03073,linolenate_alpha or gamma__18_3n3 or 6,8074,False,True,,Linolenate _alpha or gamma; (18:3n3 or 6)_,,,,,True,True,False
36,HMDB0003073,5280934,HMDB01388_HMDB03073,linolenate_alpha or gamma__18_3n3_,36,False,True,,Linolenate _alpha or gamma; (18:3n3) _,,,,,True,True,False
36,HMDB0003073,5280934,HMDB01388_HMDB03073,linolenate_alpha or gamma__18_3n6_,36,False,True,,Linolenate _alpha or gamma; (18:3n6) _,,,,,True,True,False
37,HMDB0003073,5280934,HMDB01388_HMDB03073,linolenate_alpha or gamma__18_3n3 or 6,8075,False,True,,linolenate [alpha or gamma; (18:3n3 or 6)],,,,,True,True,False
37,HMDB0003073,5280934,HMDB01388_HMDB03073,linolenate_alpha__18_3n3,37,False,True,,linolenate [alpha; (18:3n3)],,,,,True,True,False
37,HMDB0003073,5280934,HMDB01388_HMDB03073,linolenate_gamma__18_3n6,37,False,True,,linolenate [gamma; (18:3n6)],,,,,True,True,False
38,HMDB0003073,5280934,HMDB01388_HMDB03073,linolenate_alpha or gamma__18_3n3 or 6,8077,False,True,,linolenate [alpha or gamma; (18:3n3 or 6)],,C06426,,,True,True,False
38,HMDB0003073,5280934,HMDB01388_HMDB03073,linolenate_alpha__18_3n3,38,False,True,,linolenate [alpha; (18:3n3)],,C06426,,,True,True,False
38,HMDB0003073,5280934,HMDB01388_HMDB03073,linolenate_gamma__18_3n6,38,False,True,,linolenate [gamma; (18:3n6)],,C06426,,,True,True,False
39,HMDB0003073,5280934,HMDB01388_HMDB03073,linolenate_alpha or gamma__18_3n3 or 6,8077,False,True,,linolenate [alpha or gamma; (18:3n3 or 6)],,C06427,,,True,True,False
39,HMDB0003073,5280934,HMDB01388_HMDB03073,linolenate_alpha__18_3n3,39,False,True,,linolenate [alpha; (18:3n3)],,C06427,,,True,True,False
39,HMDB0003073,5280934,HMDB01388_HMDB03073,linolenate_gamma__18_3n6,39,False,True,,linolenate [gamma; (18:3n6)],,C06427,,,True,True,False
40,HMDB0010394,,HMDB10394,1_dihomo_linolenoyl_gpc_20_3n3 or 6,6949,True,False,1.0,1-dihomo-linolenoyl-GPC (20:3n3 or 6)*,21403156.0,,,,False,True,
40,HMDB0010394,,HMDB10394,1_dihomo_linolenoyl_gpc_20_3n3_,40,True,False,1.0,1-dihomo-linolenoyl-GPC (20:3n3) *,21403156.0,,,,False,True,
40,HMDB0010394,,HMDB10394,1_dihomo_linolenoyl_gpc_20_3n6_,40,True,False,1.0,1-dihomo-linolenoyl-GPC (20:3n6) *,21403156.0,,,,False,True,
41,HMDB0037397,3083779,HMDB37397,16 or 17_methylstearate_a19_0 or i19_0,7658,True,False,1.0,(16 or 17)-methylstearate (a19:0 or i19:0),,,,,False,True,
41,HMDB0037397,3083779,HMDB37397,16__methylstearate_a19_0 or i19_0,41,True,False,1.0,(16) -methylstearate (a19:0 or i19:0),,,,,False,True,
41,HMDB0037397,3083779,HMDB37397,17__methylstearate_a19_0 or i19_0,41,True,False,1.0,(17) -methylstearate (a19:0 or i19:0),,,,,False,True,
42,,146570,HMDB05028,citalopram_escitalopram,6396,True,False,1.0,citalopram/escitalopram,,,,,False,True,
42,,146570,HMDB05028,citalopram,42,True,False,1.0,citalopram,,,,,False,True,
42,,146570,HMDB05028,escitalopram,42,True,False,1.0,escitalopram,,,,,False,True,
43,,17903417,CHEM100002945,14 or 15_methylpalmitate_a17_0 or i17_0,1902,True,False,1.0,(14 or 15)-methylpalmitate (a17:0 or i17:0),,,,,False,True,
43,,17903417,CHEM100002945,14__methylpalmitate_a17_0 or i17_0,43,True,False,1.0,(14) -methylpalmitate (a17:0 or i17:0),,,,,False,True,
43,,17903417,CHEM100002945,15__methylpalmitate_a17_0 or i17_0,43,True,False,1.0,(15) -methylpalmitate (a17:0 or i17:0),,,,,False,True,
