"","metabolite_id","input_metabolite_name","input_hmdb_id","input_pubchem","input_chemspider","input_kegg","input_inchikey","input_chebi","split_input_pubchem","split_reason","input_pubchem_final","metabolite_id_final","input_hmdb_id_final","input_kegg_final","input_chebi_final","input_chemspider_final","input_inchikey_final","input_metabolite_name_final","metabolite_id_final_1","metabolite_id_final_2","has_descriptive_terms","has_multiple_ids"
"35","BM00009","Free cholesterol in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00009",NA,NA,NA,NA,NA,"free cholesterol in chylomicrons and extremely large vldl_mmol_l","BM00009","BM00009",TRUE,FALSE
"36","BM00009","Free cholesterol in chylomicrons and extremely large VLDL (mmol/L) (s5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00009",NA,NA,NA,NA,NA,"free cholesterol in chylomicrons and extremely large vldl_mmol_l__s5","BM00009","BM00009",TRUE,FALSE
"37","BM00010","[W1 Finland NMR Metabolomics] Triglycerides in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00010",NA,NA,NA,NA,NA,"w1 finland nmr metabolomics_triglycerides in chylomicrons and extremely large vldl_mmol_l","BM00010","BM00010",TRUE,FALSE
"38","BM00010","Triglycerides in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00010",NA,NA,NA,NA,NA,"triglycerides in chylomicrons and extremely large vldl_mmol_l","BM00010","BM00010",TRUE,FALSE
"39","BM00010","Triglycerides in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00010",NA,NA,NA,NA,NA,"triglycerides in chylomicrons and extremely large vldl_mmol_l","BM00010","BM00010",TRUE,FALSE
"40","BM00010","Triglycerides in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00010",NA,NA,NA,NA,NA,"triglycerides in chylomicrons and extremely large vldl_mmol_l","BM00010","BM00010",TRUE,FALSE
"41","BM00010","Triglycerides in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00010",NA,NA,NA,NA,NA,"triglycerides in chylomicrons and extremely large vldl_mmol_l","BM00010","BM00010",TRUE,FALSE
"42","BM00010","Triglycerides in chylomicrons and extremely large VLDL (mmol/L) (s5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00010",NA,NA,NA,NA,NA,"triglycerides in chylomicrons and extremely large vldl_mmol_l__s5","BM00010","BM00010",TRUE,FALSE
"43","BM00011","[W1 Finland NMR Metabolomics] Concentration of very large VLDL particles (mol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00011",NA,NA,NA,NA,NA,"w1 finland nmr metabolomics_concentration of very large vldl particles_mol_l","BM00011","BM00011",TRUE,FALSE
"44","BM00011","Concentration of very large VLDL particles (mol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00011",NA,NA,NA,NA,NA,"concentration of very large vldl particles_mol_l","BM00011","BM00011",TRUE,FALSE
"45","BM00011","Concentration of very large VLDL particles (mol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00011",NA,NA,NA,NA,NA,"concentration of very large vldl particles_mol_l","BM00011","BM00011",TRUE,FALSE
"46","BM00011","Concentration of very large VLDL particles (mol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00011",NA,NA,NA,NA,NA,"concentration of very large vldl particles_mol_l","BM00011","BM00011",TRUE,FALSE
"47","BM00011","Concentration of very large VLDL particles (mol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00011",NA,NA,NA,NA,NA,"concentration of very large vldl particles_mol_l","BM00011","BM00011",TRUE,FALSE
"48","BM00011","Concentration of very large VLDL particles (mol/L) (s5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00011",NA,NA,NA,NA,NA,"concentration of very large vldl particles_mol_l__s5","BM00011","BM00011",TRUE,FALSE
"49","BM00012","[W1 Finland NMR Metabolomics] Total lipids in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00012",NA,NA,NA,NA,NA,"w1 finland nmr metabolomics_total lipids in very large vldl_mmol_l","BM00012","BM00012",TRUE,FALSE
"50","BM00012","Total lipids in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00012",NA,NA,NA,NA,NA,"total lipids in very large vldl_mmol_l","BM00012","BM00012",TRUE,FALSE
"51","BM00012","Total lipids in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00012",NA,NA,NA,NA,NA,"total lipids in very large vldl_mmol_l","BM00012","BM00012",TRUE,FALSE
"52","BM00012","Total lipids in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00012",NA,NA,NA,NA,NA,"total lipids in very large vldl_mmol_l","BM00012","BM00012",TRUE,FALSE
"53","BM00012","Total lipids in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00012",NA,NA,NA,NA,NA,"total lipids in very large vldl_mmol_l","BM00012","BM00012",TRUE,FALSE
"54","BM00012","Total lipids in very large VLDL (mmol/L) (s5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00012",NA,NA,NA,NA,NA,"total lipids in very large vldl_mmol_l__s5","BM00012","BM00012",TRUE,FALSE
"55","BM00013","[W1 Finland NMR Metabolomics] Phospholipids in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00013",NA,NA,NA,NA,NA,"w1 finland nmr metabolomics_phospholipids in very large vldl_mmol_l","BM00013","BM00013",TRUE,FALSE
"56","BM00013","Phospholipids in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00013",NA,NA,NA,NA,NA,"phospholipids in very large vldl_mmol_l","BM00013","BM00013",TRUE,FALSE
"57","BM00013","Phospholipids in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00013",NA,NA,NA,NA,NA,"phospholipids in very large vldl_mmol_l","BM00013","BM00013",TRUE,FALSE
"58","BM00013","Phospholipids in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00013",NA,NA,NA,NA,NA,"phospholipids in very large vldl_mmol_l","BM00013","BM00013",TRUE,FALSE
"59","BM00013","Phospholipids in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00013",NA,NA,NA,NA,NA,"phospholipids in very large vldl_mmol_l","BM00013","BM00013",TRUE,FALSE
"60","BM00013","Phospholipids in very large VLDL (mmol/L) (s5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00013",NA,NA,NA,NA,NA,"phospholipids in very large vldl_mmol_l__s5","BM00013","BM00013",TRUE,FALSE
"61","BM00014","[W1 Finland NMR Metabolomics] Total cholesterol in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00014",NA,NA,NA,NA,NA,"w1 finland nmr metabolomics_total cholesterol in very large vldl_mmol_l","BM00014","BM00014",TRUE,FALSE
"62","BM00014","Total cholesterol in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00014",NA,NA,NA,NA,NA,"total cholesterol in very large vldl_mmol_l","BM00014","BM00014",TRUE,FALSE
"63","BM00014","Total cholesterol in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00014",NA,NA,NA,NA,NA,"total cholesterol in very large vldl_mmol_l","BM00014","BM00014",TRUE,FALSE
